month,day,duration,client
1,2,232,8
1,2,203,8
1,2,103,8
1,4,240,3
1,4,72,8
1,4,129,8
1,4,22,15
1,4,28,3
1,4,7,8
1,7,60,8
1,7,38,7
1,7,180,3
1,7,0,7
1,7,20,3
1,7,214,7
1,8,26,8
1,8,187,25
1,8,16,8
1,8,56,18
1,8,101,8
1,8,0,25
1,8,22,7
1,9,61,25
1,9,7,18
1,9,42,8
1,9,79,11
1,9,70,7
1,9,82,11
1,11,20,11
1,11,90,4
1,11,92,24
1,11,87,8
1,11,60,4
1,11,45,22
1,11,47,8
1,14,209,24
1,14,214,24
1,14,23,23
1,14,26,7
1,15,71,23
1,15,75,25
1,15,343,24
1,16,479,24
1,18,150,8
1,19,149,8
1,21,40,8
1,21,62,24
1,21,50,4
1,21,12,8
1,21,32,13
1,21,40,18
1,21,41,24
1,21,54,8
1,21,26,4
1,21,29,8
1,22,161,7
1,22,88,7
1,22,52,5
1,22,82,11
1,22,36,7
1,23,51,25
1,23,88,8
1,24,28,25
1,24,4,8
1,24,62,7
1,25,293,4
1,25,3,24
1,25,111,4
1,25,53,7
1,25,77,24
1,31,45,7
1,31,30,4
2,4,222,8
2,4,9,4
2,4,3,5
2,4,46,4
2,4,136,7
2,4,12,7
2,4,162,8
2,5,255,7
2,5,186,4
2,5,13,7
2,6,25,8
2,6,180,4
2,6,62,4
2,6,60,25
2,6,64,4
2,6,16,8
2,12,60,8
2,12,120,26
2,13,63,26
2,13,3,8
2,13,47,5
2,13,41,26
2,13,14,4
2,13,55,4
2,13,11,5
2,14,49,4
2,15,45,26
2,15,137,7
2,17,19,26
2,20,75,12
2,20,105,26
2,22,94,8
2,22,86,8
2,22,37,8
2,22,42,26
2,22,53,7
2,22,60,8
2,22,65,7
2,24,180,4
2,25,60,8
2,25,111,4
2,25,33,4
2,26,172,4
2,26,50,4
2,26,41,26
2,26,13,4
2,26,14,7
2,26,107,4
2,27,37,25
2,27,50,6
2,27,15,8
2,27,34,8
2,27,75,8
